Dataset Title,Dataset Name,Referred Visits,Period Name
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,496,2014-02
Code-Point® Open ,os-code-point-open,496,2014-02
Abandoned Shopping Trolleys in Bristol rivers,abandoned-shopping-trolleys-bristol-rivers,900,2014-03
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,713,2014-03
Code-Point® Open ,os-code-point-open,682,2014-03
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,682,2014-03
Road Safety Data,road-accidents-safety-data,496,2014-03
Abandoned Shopping Trolleys in Bristol rivers,abandoned-shopping-trolleys-bristol-rivers,1140,2014-04
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,744,2014-04
Allocation of science and research funding 2011/12 to 2014/15,allocation-of-science-and-research-funding-2011-12-to-2014-15,638,2014-04
Road Safety Data,road-accidents-safety-data,620,2014-04
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,589,2014-04
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,961,2014-05
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,620,2014-05
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,527,2014-05
Combined Online Information System,coins,496,2014-05
Code-Point® Open ,os-code-point-open,465,2014-05
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,1116,2014-06
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,837,2014-06
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,310,2014-06
Code-Point® Open ,os-code-point-open,310,2014-06
Road Safety Data,road-accidents-safety-data,217,2014-06
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,837,2014-07
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,651,2014-07
Road Safety Data,road-accidents-safety-data,403,2014-07
Code-Point® Open ,os-code-point-open,341,2014-07
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,279,2014-07
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,961,2014-08
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,589,2014-08
Car Parks,car-parks,434,2014-08
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,372,2014-08
"Ambulance Services, England",ambulance_services_england,341,2014-08
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,775,2014-09
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,682,2014-09
GH Wine Cellar data,gh-wine-cellar-data_2,416,2014-09
Code-Point® Open ,os-code-point-open,403,2014-09
Road Safety Data,road-accidents-safety-data,341,2014-09
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,1054,2014-10
Road Safety Data,road-accidents-safety-data,899,2014-10
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,682,2014-10
Car Parks,car-parks,372,2014-10
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,310,2014-10
Road Safety Data,road-accidents-safety-data,1333,2014-11
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,868,2014-11
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,620,2014-11
Car Parks,car-parks,558,2014-11
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,465,2014-11
Road Safety Data,road-accidents-safety-data,155,2014-12
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,155,2014-12
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,93,2014-12
Immigration Statistics: settlement,immigration-statistics-settlement,81,2014-12
CCG Prescribing Data,ccg_prescribing_data,34,2014-12
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,37727,All
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,17608,All
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,13175,All
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,12875,All
Code-Point® Open ,os-code-point-open,10478,All
